indicator,iso3,value
population,AFE,731821393.0
population,AFW,496366058.0
population,ARB,471352066.0
population,CSS,4497310.0
population,CEB,100071871.0
population,EAR,3470644834.0
population,EAS,2379617118.0
population,EAP,2133560408.0
population,TEA,2107261123.0
population,EMU,354666175.0
population,ECS,924267385.0
population,ECA,250514347.0
population,TEC,460942269.0
population,EUU,447203596.0
population,HPC,892885172.0
population,IBD,4928196300.0
population,IBT,6793703268.0
population,IDB,651895919.0
population,IDX,1213611049.0
population,IDA,1865506968.0
population,LTE,2323799602.0
population,LCN,653108131.0
population,LAC,613861839.0
population,TLA,637837815.0
population,LDC,1133564482.0
population,LMY,6590522389.0
population,MEA,782349366.0
population,MNA,716508657.0
population,TMN,711465045.0
population,MIC,5882746344.0
population,NAC,373011185.0
population,OED,1378591781.0
population,OSS,12699005.0
population,PSS,2656049.0
population,PST,1117420833.0
population,PRE,1050180429.0
population,SST,19852364.0
population,SAS,1648009565.0
population,TSA,1648009565.0
population,SSF,1228187451.0
population,SSA,1228067573.0
population,TSS,1228187451.0
population,WLD,7988550201.0
population,AFG,40578842.0
population,ALB,2451636.0
population,DZA,45477389.0
population,ASM,48342.0
population,AND,79705.0
population,AGO,35635029.0
population,ATG,92840.0
population,ARG,45407904.0
population,ARM,2969200.0
population,ABW,107310.0
population,AUS,26018721.0
population,AUT,9041851.0
population,AZE,10141756.0
population,BHS,397538.0
population,BHR,1524693.0
population,BGD,169384897.0
population,BRB,282318.0
population,BLR,9228071.0
population,BEL,11680210.0
population,BLZ,402733.0
population,BEN,13759501.0
population,BMU,64749.0
population,BTN,780914.0
population,BOL,12077154.0
population,BIH,3204802.0
population,BWA,2439892.0
population,BRA,210306415.0
population,VGB,38319.0
population,BRN,455370.0
population,BGR,6465097.0
population,BFA,22509038.0
population,BDI,13321097.0
population,CPV,519741.0
population,KHM,17201724.0
population,CMR,27632771.0
population,CAN,38950132.0
population,CYM,71591.0
population,CAF,5098039.0
population,TCD,18455316.0
population,CHI,167215.0
population,CHL,19553036.0
population,CHN,1412175000.0
population,COL,51737944.0
population,COM,834188.0
population,COD,102396968.0
population,COG,6035104.0
population,CRI,5081765.0
population,CIV,30395002.0
population,HRV,3855641.0
population,CUB,11059820.0
population,CUW,153321.0
population,CYP,1331370.0
population,CZE,10672118.0
population,DNK,5903037.0
population,DJI,1137096.0
population,DMA,66826.0
population,DOM,11230734.0
population,ECU,17823897.0
population,EGY,112618250.0
population,SLV,6280319.0
population,GNQ,1803545.0
population,ERI,3409447.0
population,EST,1348840.0
population,SWZ,1218917.0
population,ETH,125384287.0
population,FRO,53903.0
population,FJI,919422.0
population,FIN,5556106.0
population,FRA,68184457.0
population,PYF,280378.0
population,GAB,2430747.0
population,GMB,2636470.0
population,GEO,3712502.0
population,DEU,83177813.0
population,GHA,33149152.0
population,GIB,37609.0
population,GRC,10437805.0
population,GRL,56661.0
population,GRD,116913.0
population,GUM,165180.0
population,GTM,17847877.0
population,GIN,14055137.0
population,GNB,2105529.0
population,GUY,821637.0
population,HTI,11503606.0
population,HND,10463872.0
population,HKG,7346100.0
population,HUN,9605074.0
population,ISL,382003.0
population,IND,1425423212.0
population,IDN,278830529.0
population,IRN,89524246.0
population,IRQ,44070551.0
population,IRL,5212836.0
population,IMN,84132.0
population,ISR,9557500.0
population,ITA,59013667.0
population,JAM,2839144.0
population,JPN,125124989.0
population,JOR,11256263.0
population,KAZ,20034609.0
population,KEN,54252461.0
population,KIR,130469.0
population,PRK,26328845.0
population,KOR,51672569.0
population,XKX,1768096.0
population,KWT,4589643.0
population,KGZ,6975220.0
population,LAO,7559007.0
population,LVA,1879383.0
population,LBN,5744489.0
population,LSO,2286110.0
population,LBR,5373294.0
population,LBY,7223805.0
population,LIE,39493.0
population,LTU,2831639.0
population,LUX,653103.0
population,MAC,677300.0
population,MDG,30437261.0
population,MWI,20568728.0
population,MYS,34695493.0
population,MDV,524106.0
population,MLI,23072640.0
population,MLT,531113.0
population,MHL,40077.0
population,MRT,4875637.0
population,MUS,1262523.0
population,MEX,128613117.0
population,FSM,112114.0
population,MDA,2528654.0
population,MCO,38931.0
population,MNG,3433748.0
population,MNE,623591.0
population,MAR,37329064.0
population,MOZ,32656246.0
population,MMR,53756787.0
