iso3,country,region,income_group,life_expectancy,gdp_pc_ppp,health_exp_pct_gdp,school_enroll_secondary,water_access,sanitation_access,urban_pct,measles_immunization,fertility_rate
ABW,Aruba,Latin America & Caribbean ,High income,73.655,35207.1709088639,,123.625907897949,96.7397757541097,98.8005972638482,61.9275339886843,,1.631
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,60.417,2144.16657002819,21.50844383,57.3578491210938,74.5545259961346,50.2966403259731,25.3478620272481,51.0,5.039
AGO,Angola,Sub-Saharan Africa ,Lower middle income,62.958,8720.18768742123,2.73987103,53.1351542727131,65.716257719435,50.0511353702384,68.2524163556969,48.0,5.304
ALB,Albania,Europe & Central Asia,Upper middle income,76.844,18212.794718288,7.35750389,97.665033031442,95.0815150513051,99.2990351357274,57.5077187031778,87.0,1.365
AND,Andorra,Europe & Central Asia,High income,82.331,59332.2029100127,8.64671707,98.0404205322266,100.0,100.0,88.6627318165299,99.0,1.058
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,79.083,68580.1312912676,5.30494308,103.210663324826,100.0,99.0936250142386,85.3571908511355,99.0,1.162
ARG,Argentina,Latin America & Caribbean ,Upper middle income,73.948,26300.274261175,11.00910187,115.735778808594,99.0413738458383,94.8209557204549,92.0292776175651,86.0,1.585
ARM,Armenia,Europe & Central Asia,Upper middle income,72.2780487804878,15921.705281964,12.32268524,91.4853735120921,99.4534764633698,93.0320229848765,65.3572875314441,94.0,1.7
ASM,American Samoa,East Asia & Pacific,High income,72.708,,,,99.9781289242709,62.1275988186987,82.2127091544092,,2.327
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,77.197,25745.4958067746,4.81315422,121.685249328613,98.9226250605056,99.6050402706189,24.574983819566,85.0,1.58
AUS,Australia,East Asia & Pacific,High income,83.3,58327.4146842325,10.51612186,135.526565551758,99.9697732704149,100.0,87.2353407632761,93.0,1.7
AUT,Austria,Europe & Central Asia,High income,81.190243902439,62968.8538770186,12.185215,102.307662963867,100.0,99.9724908948366,68.773601700253,99.0,1.48
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,70.999,20111.3756952109,4.68526697,91.4106367606057,95.0977447085139,95.8663117734363,58.3659969744818,66.0,1.52
BDI,Burundi,Sub-Saharan Africa ,Low income,62.101,1032.38274081999,8.94190311,44.9151717353101,65.0493033882129,44.5545225988873,21.1108861865354,90.0,5.078
BEL,Belgium,Europe & Central Asia,High income,81.790243902439,60669.2137746534,11.28825092,143.163513183594,99.9999987625062,99.486206436114,87.4305564090635,96.0,1.6
BEN,Benin,Sub-Saharan Africa ,Lower middle income,59.61,3464.2886286745,2.91589761,44.2737998962402,68.6381245479094,20.1721169387367,50.1961807561354,53.0,4.707
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,60.046,2486.43093147762,7.08691931,38.1480312365517,50.0752719507407,28.8068022658045,26.8114307743017,88.0,4.361
BGD,Bangladesh,South Asia,Lower middle income,71.103,7441.06913961254,2.26678729,66.8282318620991,98.4379436580879,61.6770898454809,31.3992156886061,97.0,2.173
BGR,Bulgaria,Europe & Central Asia,High income,71.2121951219512,30958.9830238332,8.58048916,98.7087631225586,99.2363227360567,86.0455390086067,73.346765618041,89.0,1.8
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,78.083,54954.6757895532,4.32771444,102.128281941881,99.9198990209829,100.0,100.0,99.0,1.852
BHS,"Bahamas, The",Latin America & Caribbean ,High income,70.752,31064.6822166194,6.78537178,72.6381880061026,98.9452612148878,93.7100445402837,81.4784235345083,82.0,1.382
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,74.567,18286.6614977175,9.55514336,85.6761474609375,96.1188407812551,95.3850620124746,50.4899479477034,61.0,1.49
BLR,Belarus,Europe & Central Asia,Upper middle income,72.0714634146342,27611.1801135157,6.56549978,100.42063921059,99.3932172039885,99.6591219571066,78.131086803694,98.0,1.371
BLZ,Belize,Latin America & Caribbean ,Upper middle income,70.917,11716.3267818656,5.04598379,88.8215546932903,94.6148163127858,84.1586414948366,42.3910809205294,79.0,1.837
BMU,Bermuda,North America,High income,81.745,92319.6714861222,,86.8070526123047,100.0,99.9416526015971,100.0,,1.389
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,61.427,11202.4409836707,8.16016769,90.4144137410078,92.1056066930792,67.2484529429256,70.3450412826165,75.0,2.618
